Question Number,Section,Question,Document Embeddings
454,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),What expenses are subject to tax for a graduate degree candidate receiving an award?,
455,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),What portion of awards representing payment for services is taxable?,
456,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),How does CMU determine centrally what portion of a graduate award covers tuition?,
457,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),"If departments submit additional monthly award amounts beyond tuition/fees, how is this treated for taxes?",
458,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),What form does CMU use to report taxable graduate student income?,
459,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),What IRS publication should students consult about federal tax on education benefits?,
460,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),What IRS publication addresses U.S. Tax Treaties for non-resident alien graduate students?,
461,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),What IRS publication covers tax residency status for foreign students?,
462,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),How does Pennsylvania personal income tax apply to graduate student awards?,
463,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),What is the general rule for Pennsylvania withholding on fellowship awards and stipends?,
464,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),Does the Pennsylvania tax policy apply to graduate students providing services outside Pennsylvania?,
465,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),How does CMU treat business and travel expense reimbursements for tax purposes?,
466,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),What is the university's obligation for required tax withholdings on graduate student awards?,
467,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),What must graduate students do to determine the portion of their award used for additional expenses?,
468,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),From what is CMU's taxable income amount derived for graduate students' W-2s?,
469,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),Can foreign students benefit from specific tax treaties between the U.S. and their home countries?,
470,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),"What does ""non-resident alien"" mean for tax purposes?",
471,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),Under what circumstances does the university exclude award amounts from taxable income on a W-2?,
472,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),"What determines whether a graduate student is a ""resident"" or ""non-resident"" for U.S. tax purposes?",
473,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),What graduate student awards does the university treat as subject to Pennsylvania personal income tax?,
474,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),"If a graduate student provides services at a non-Pennsylvania university location, what state tax rules apply?",
475,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),Who should graduate students consult if they have questions about the tax consequences of their awards?,
476,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),What is the university's legal obligation in computing graduate student taxable income?,
477,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),Does the federal tax treatment of graduate student awards depend on whether the student is a degree candidate?,
478,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),How does CMU identify the separation between taxable and non-taxable portions of fellowship awards?,
479,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),Are awards to non-degree graduate students subject to federal tax?,
480,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),What expenses can reduce taxable graduate student income under the federal tax policy?,
481,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),What is CMU's stated responsibility with respect to research integrity?,
482,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),"How does the National Science Foundation define ""misconduct"" for research purposes?",
483,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),"What is required for a ""material failure to comply with federal requirements"" to be deemed misconduct?",
484,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),Who is responsible for complying with federal regulations in research misconduct cases at CMU?,
485,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),What is the first stage of inquiry in a research misconduct allegation at CMU?,
486,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),"What is a ""Committee of Inquiry"" in the context of research misconduct?",
487,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),"What is a ""Committee of Investigation"" in the context of research misconduct?",
488,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),What rights must be protected for those accused in a research misconduct investigation?,
489,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),What are the rights of the person making an allegation of research misconduct?,
490,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),When must CMU notify sponsoring agencies in a research misconduct case?,
491,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),What sanctions may the President impose on a graduate student found responsible for research misconduct?,
492,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),Are research misconduct sanctions subject to the community standards appeal process?,
493,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),"What does the research misconduct policy define as ""fabrication""?",
494,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),"What does the research misconduct policy define as ""falsification""?",
495,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),"What does the research misconduct policy identify as ""plagiarism"" in the research context?",
496,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),"What does ""material failure to comply with Federal requirements for the protection of researchers"" constitute?",
497,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),What is the provost's role in a research misconduct investigation?,
498,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),Does the research misconduct policy cover graduate student research as well as faculty research?,
499,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),Does the research misconduct policy cover human subjects research at CMU?,
500,SECTION 13: RESEARCH MISCONDUCT POLICY (Q481–Q510),Where can a student find more information about the research misconduct policy?,
501,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What is CMU's Human Subjects in Research Policy designed to protect?,
502,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What is the Institutional Review Board (IRB) at CMU?,
503,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What types of research activities require IRB approval at CMU?,
504,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),When is human subjects research involving minors exempt from program registration requirements?,
505,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What is the Doctoral Student Status Policy?,
506,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What minimum academic performance is expected of doctoral students at CMU?,
507,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What triggers a status review for doctoral students under this policy?,
508,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),"What is the ""statute of limitations"" for master's degree completion at CMU?",
509,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What is the statute of limitations for undergraduate students at CMU?,
510,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What happens if an undergraduate student exceeds their statute of limitations?,
511,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What is CMU's policy on retention of student work?,
512,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),How long must CMU retain student work after a course ends?,
513,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What is the purpose of the Retention of Student Work Policy?,
514,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What is the Cross-College and University Registration PCHE policy?,
515,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What is the Pittsburgh Council on Higher Education (PCHE)?,
516,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What are the general conditions for cross-registration under PCHE?,
517,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What is the policy on Evaluation and Certification of English Fluency for Instructors?,
518,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),Who is required to demonstrate English fluency under this policy?,
519,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What is the policy on Prenatal Radiation Exposure for students at CMU?,
520,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What does the Prenatal Radiation Exposure Policy require students to do?,
521,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),Who administers the Prenatal Radiation Exposure Policy?,
522,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What is CMU's Transfer Credit Evaluation and Assignment Policy?,
523,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What determines whether transfer credit is awarded at CMU?,
524,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),Who has authority to approve transfer credits at CMU?,
525,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),Does transfer credit from courses taken during suspension automatically count?,
526,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What is the Undergraduate Course Meeting Policy?,
527,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What does the Withdrawal of a Degree Policy address?,
528,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),Under what circumstances may a degree be withdrawn at CMU?,
529,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What is the process for withdrawing a degree at CMU?,
530,SECTION 14: HUMAN SUBJECTS & DOCTORAL STATUS POLICIES (Q501–Q530),What is the policy on Temporary Emergency Closing of the University?,
531,SECTION 15: HOUSING POLICIES (Q531–Q600),What time periods does the Housing License Agreement cover?,
532,SECTION 15: HOUSING POLICIES (Q531–Q600),During which break may students stay in residence halls without extra charges?,
533,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the policy for Winter Break housing at CMU?,
534,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the deadline for receiving Winter Break housing information from CMU?,
535,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the minimum summer housing period a student may apply for?,
536,SECTION 15: HOUSING POLICIES (Q531–Q600),Is there a charge for summer housing at CMU?,
537,SECTION 15: HOUSING POLICIES (Q531–Q600),Who may post notices on bulletin boards in residence halls?,
538,SECTION 15: HOUSING POLICIES (Q531–Q600),What process must be followed to post on bulletin boards in residence halls?,
539,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the policy on private cable TV service in university housing?,
540,SECTION 15: HOUSING POLICIES (Q531–Q600),Under what circumstances are housing cancellations and refunds issued?,
541,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the housing cancellation fee and when is it waived?,
542,SECTION 15: HOUSING POLICIES (Q531–Q600),When is the Open Cancellation Period for housing?,
543,SECTION 15: HOUSING POLICIES (Q531–Q600),Are natural Christmas trees permitted in university housing?,
544,SECTION 15: HOUSING POLICIES (Q531–Q600),What types of holiday decorations are permitted in university housing?,
545,SECTION 15: HOUSING POLICIES (Q531–Q600),What must students do to paint a common area in a residential building?,
546,SECTION 15: HOUSING POLICIES (Q531–Q600),Who reviews and approves common area painting proposals?,
547,SECTION 15: HOUSING POLICIES (Q531–Q600),What are students' responsibilities under the Common Area Responsibility policy?,
548,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the policy on cooking in residence hall rooms?,
549,SECTION 15: HOUSING POLICIES (Q531–Q600),What cooking exception applies to residence hall rooms?,
550,SECTION 15: HOUSING POLICIES (Q531–Q600),What electrical appliances are prohibited in campus residence buildings?,
551,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the maximum wattage for permitted appliances in dorm rooms?,
552,SECTION 15: HOUSING POLICIES (Q531–Q600),Where are electric kettles and standalone rice cookers approved for use?,
553,SECTION 15: HOUSING POLICIES (Q531–Q600),What are the guidelines for use of electric kettles and rice cookers in approved spaces?,
554,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the penalty fee for violating fire-safety guidelines in residential buildings?,
555,SECTION 15: HOUSING POLICIES (Q531–Q600),What items should not be hung from sprinkler heads?,
556,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the policy on the use of fire escapes?,
557,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the overnight guest policy for residence halls?,
558,SECTION 15: HOUSING POLICIES (Q531–Q600),What is Henderson Wellness House?,
559,SECTION 15: HOUSING POLICIES (Q531–Q600),What substance-free lifestyle is expected of Henderson House residents and guests?,
560,SECTION 15: HOUSING POLICIES (Q531–Q600),What is CMU's housing disability accommodation policy?,
561,SECTION 15: HOUSING POLICIES (Q531–Q600),Are hoverboards permitted in university housing?,
562,SECTION 15: HOUSING POLICIES (Q531–Q600),What assistance does CMU offer if a student needs to ship a hoverboard?,
563,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the policy on illegal possession of keys or access devices?,
564,SECTION 15: HOUSING POLICIES (Q531–Q600),"What constitutes ""improper use of university facilities""?",
565,SECTION 15: HOUSING POLICIES (Q531–Q600),Under what conditions may authorized representatives enter a resident's room?,
566,SECTION 15: HOUSING POLICIES (Q531–Q600),What notice must be given before a standard housing inspection?,
567,SECTION 15: HOUSING POLICIES (Q531–Q600),What must a student receive if staff enters their room without prior request or notice?,
568,SECTION 15: HOUSING POLICIES (Q531–Q600),Under what circumstances may the university enter a room without prior notice?,
569,SECTION 15: HOUSING POLICIES (Q531–Q600),Where must all mail and packages for campus housing residents be addressed?,
570,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the correct format for addressing mail to a CMU student's SMC box?,
571,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the policy on food delivery services like Instacart for residents?,
572,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the maximum wattage for a permitted microwave in a dorm room?,
573,SECTION 15: HOUSING POLICIES (Q531–Q600),What combustible materials are absolutely prohibited in university housing?,
574,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the policy on outdoor poster placement around residential buildings?,
575,SECTION 15: HOUSING POLICIES (Q531–Q600),What pets are permitted in university housing?,
576,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the maximum aquarium size allowed in university housing?,
577,SECTION 15: HOUSING POLICIES (Q531–Q600),"What is an ""emotional support animal"" as defined in the housing policy?",
578,SECTION 15: HOUSING POLICIES (Q531–Q600),What prior approval is required to have an emotional support animal in university housing?,
579,SECTION 15: HOUSING POLICIES (Q531–Q600),Are service animals permitted in university housing?,
580,SECTION 15: HOUSING POLICIES (Q531–Q600),What documentation must be submitted for a dog living in a residence facility?,
581,SECTION 15: HOUSING POLICIES (Q531–Q600),Where are emotional support animals permitted within the residence facility?,
582,SECTION 15: HOUSING POLICIES (Q531–Q600),Is an emotional support animal permitted in other campus buildings beyond the student's housing?,
583,SECTION 15: HOUSING POLICIES (Q531–Q600),Who is responsible for damages caused by a service or emotional support animal?,
584,SECTION 15: HOUSING POLICIES (Q531–Q600),What does the student assume responsibility for with respect to the animal's behavior when absent?,
585,SECTION 15: HOUSING POLICIES (Q531–Q600),What must emotional support animals wear at all times?,
586,SECTION 15: HOUSING POLICIES (Q531–Q600),What is CMU's policy on students insuring their personal property?,
587,SECTION 15: HOUSING POLICIES (Q531–Q600),What is CMU's liability for loss or damage to students' personal property?,
588,SECTION 15: HOUSING POLICIES (Q531–Q600),What are standard quiet hours for residence halls on Sunday through Thursday?,
589,SECTION 15: HOUSING POLICIES (Q531–Q600),What are quiet hours on Friday and Saturday nights?,
590,SECTION 15: HOUSING POLICIES (Q531–Q600),What are quiet hours during finals week or reading days?,
591,SECTION 15: HOUSING POLICIES (Q531–Q600),"How is ""quiet"" defined in terms of noise distance at CMU?",
592,SECTION 15: HOUSING POLICIES (Q531–Q600),"How is ""courtesy hours"" noise limit defined in terms of distance?",
593,SECTION 15: HOUSING POLICIES (Q531–Q600),How may extended quiet hours be implemented in a residential area?,
594,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the Welch and designated first-year housing quiet living designation?,
595,SECTION 15: HOUSING POLICIES (Q531–Q600),Are musical instruments permitted in quiet living areas?,
596,SECTION 15: HOUSING POLICIES (Q531–Q600),What are the rules for refrigerators in CMU residence halls?,
597,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the penalty for not removing a mini-refrigerator at check-out?,
598,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the security camera policy for housing buildings?,
599,SECTION 15: HOUSING POLICIES (Q531–Q600),How long are security camera recordings stored?,
600,SECTION 15: HOUSING POLICIES (Q531–Q600),What is the smoking policy for CMU residential areas?,
601,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What is the general philosophy behind CMU's community standards?,
602,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What are the four core purposes of CMU's community standards process?,
603,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What is a student's responsibility regarding their guests' conduct in the residential community?,
604,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is the definition of ""Respondent"" in the community standards process?",
605,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is the definition of ""Complainant"" in the community standards process?",
606,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is the definition of ""student"" for community standards purposes?",
607,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),Is a person who has accepted an offer of admission but not yet enrolled considered a student?,
608,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is a ""Support Person"" in the community standards process?",
609,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What is a Support Person prohibited from doing during hearings?,
610,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is the definition of ""Resolution"" in the community standards context?",
611,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What is the Resolution Review Board (RRB)?,
612,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What is the role of the Adjudicator in the community standards process?,
613,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What is the role of the Moderator in a University Disciplinary Committee hearing?,
614,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What is the role of the Process Advisor?,
615,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is the definition of a ""Witness"" in the community standards process?",
616,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What is the Hearing Officer's role in the community standards process?,
617,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What are the four venues for formal resolution of community standards violations?,
618,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What groups of violations constitute community standards misconduct?,
619,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),List five examples of integrity-related community standards violations.,
620,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),List five examples of welfare-related community standards violations.,
621,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),List five examples of property-related community standards violations.,
622,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"List five examples of health, safety, and security violations of community standards.",
623,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What is the Active Medical Assistance Protocol (AMAP) and what happens if a student fails to enact it?,
624,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What happens to a complaint that is dismissed by the RRB?,
625,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),May a withdrawn complaint be refiled?,
626,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What is the process for a respondent who is non-responsive to the community standards process?,
627,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What happens if a complainant ceases to engage in the resolution process?,
628,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is an ""overriding community interest"" in the community standards process?",
629,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What does a successful Administrative Resolution Meeting require of the student?,
630,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),Who reviews and approves outcomes proposed in an Administrative Resolution Meeting?,
631,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What is the composition of the University Disciplinary Committee (UDC)?,
632,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),Who appoints the faculty members of the UDC?,
633,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),Who appoints the student members of the UDC?,
634,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),How long may UDC board members serve?,
635,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What circumstances preclude a person from serving as a UDC board member for a case?,
636,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),How many days in advance must a student be notified of the specific violation before a UDC hearing?,
637,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What right does the respondent have throughout the community standards hearing process?,
638,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What right does the complainant have in the community standards hearing process?,
639,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What are ""written introductions"" in the context of a UDC hearing?",
640,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),How many letters of support may each party submit for the outcomes phase?,
641,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),How long does each party have for their introduction in a UDC hearing?,
642,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),How long does each party have for their summary in a UDC hearing?,
643,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What standard of evidence is used by the UDC to determine responsibility?,
644,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),When is information about a respondent's prior community standards record shared with the UDC?,
645,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),How many days does a respondent have to file a written appeal after a UDC decision?,
646,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),To whom must a UDC appeal be submitted?,
647,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What are the four bases for an appeal of a UDC decision?,
648,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What is the authority of the appeal officer in a UDC appeal?,
649,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),Who makes the final decision in a UDC case?,
650,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),Who may the associate vice president of student affairs for community life consult when deciding a case?,
651,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),When do outcomes from a UDC take effect during an appeal?,
652,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),In what cases must the complainant/impacted party receive notification of the disposition?,
653,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),Are parents normally notified of community standards actions against a student?,
654,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),How long are community standards records generally retained?,
655,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),When are community standards records maintained indefinitely?,
656,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is the definition of ""Warning"" as a community standards outcome?",
657,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is ""Residential Probation"" as a community standards outcome?",
658,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is ""Disciplinary Probation"" as a community standards outcome?",
659,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),Is a student on disciplinary probation considered in good standing with the university?,
660,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is ""Disciplinary Suspension"" as a community standards outcome?",
661,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),Within how many days must a suspended student leave campus?,
662,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is ""Expulsion"" as a community standards outcome?",
663,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),May expelled students apply for admission to other CMU programs?,
664,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is ""Suspension of a conferred degree""?",
665,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What activities are prohibited during degree suspension?,
666,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is ""Revocation of a conferred degree""?",
667,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is ""Loss of Privilege"" as an outcome?",
668,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is ""Loss of Residency in University Housing"" as an outcome?",
669,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is ""Community Service"" as a community standards outcome?",
670,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is ""Restitution"" as a community standards outcome?",
671,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is an ""Educational/Developmental Assignment"" as an outcome?",
672,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is ""Behavioral Assessments and Recommendations"" as an outcome?",
673,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What happens if a student has two community standards violations within an academic year?,
674,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What happens if a student is involved in three violations within an academic year?,
675,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What factors guide the determination of outcomes in the community standards process?,
676,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"What is a ""citation"" in the community standards context?",
677,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),What happens when a student withdraws from CMU with pending community standards allegations?,
678,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),Under what circumstances may CMU review a case after a student is charged with or convicted of a crime?,
679,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),How long are community standards records of student organizations retained?,
680,SECTION 16: COMMUNITY STANDARDS & CONDUCT POLICIES (Q601–Q680),"When are biannual hazing reports published, and how long are they retained?",
